"module name","name","version","repository","description","licenses"
"@adobe/css-tools@4.4.0","@adobe/css-tools","4.4.0","https://github.com/adobe/css-tools","CSS parser / stringifier","MIT"
"@adraffy/ens-normalize@1.10.1","@adraffy/ens-normalize","1.10.1","https://github.com/adraffy/ens-normalize.js","Ethereum Name Service (ENS) Name Normalizer","MIT"
"@alloc/quick-lru@5.2.0","@alloc/quick-lru","5.2.0","https://github.com/sindresorhus/quick-lru","Simple “Least Recently Used” (LRU) cache","MIT"
"@ampproject/remapping@2.2.1","@ampproject/remapping","2.2.1","https://github.com/ampproject/remapping","Remap sequential sourcemaps through transformations to point at the original source code","Apache-2.0"
"@aw-web-design/x-default-browser@1.4.126","@aw-web-design/x-default-browser","1.4.126","https://github.com/The-Code-Monkey/TechStack","Detect default web browser of the current user, cross-platform (Win/Lin/Mac)","MIT"
"@aws-crypto/crc32@5.2.0","@aws-crypto/crc32","5.2.0","https://github.com/aws/aws-sdk-js-crypto-helpers","Pure JS implementation of CRC32 https://en.wikipedia.org/wiki/Cyclic_redundancy_check","Apache-2.0"
"@aws-crypto/crc32c@5.2.0","@aws-crypto/crc32c","5.2.0","https://github.com/aws/aws-sdk-js-crypto-helpers","Pure JS implementation of CRC32-C https://en.wikipedia.org/wiki/Cyclic_redundancy_check","Apache-2.0"
"@aws-crypto/sha1-browser@5.2.0","@aws-crypto/sha1-browser","5.2.0","https://github.com/aws/aws-sdk-js-crypto-helpers","SHA1 wrapper for browsers that prefers `window.crypto.subtle`.","Apache-2.0"
"@aws-crypto/sha256-browser@5.2.0","@aws-crypto/sha256-browser","5.2.0","https://github.com/aws/aws-sdk-js-crypto-helpers","SHA256 wrapper for browsers that prefers `window.crypto.subtle` but will fall back to a pure JS implementation in @aws-crypto/sha256-js to provide a consistent interface for SHA256.","Apache-2.0"
"@aws-crypto/sha256-js@5.2.0","@aws-crypto/sha256-js","5.2.0","https://github.com/aws/aws-sdk-js-crypto-helpers","A pure JS implementation SHA256.","Apache-2.0"
"@aws-crypto/supports-web-crypto@5.2.0","@aws-crypto/supports-web-crypto","5.2.0","https://github.com/aws/aws-sdk-js-crypto-helpers","Provides functions for detecting if the host environment supports the WebCrypto API","Apache-2.0"
"@aws-crypto/util@5.2.0","@aws-crypto/util","5.2.0","https://github.com/aws/aws-sdk-js-crypto-helpers","Helper functions","Apache-2.0"
"@aws-sdk/client-cloudfront@3.600.0","@aws-sdk/client-cloudfront","3.600.0","https://github.com/aws/aws-sdk-js-v3","AWS SDK for JavaScript Cloudfront Client for Node.js, Browser and React Native","Apache-2.0"
"@aws-sdk/client-s3@3.600.0","@aws-sdk/client-s3","3.600.0","https://github.com/aws/aws-sdk-js-v3","AWS SDK for JavaScript S3 Client for Node.js, Browser and React Native","Apache-2.0"
"@aws-sdk/client-sso-oidc@3.600.0","@aws-sdk/client-sso-oidc","3.600.0","https://github.com/aws/aws-sdk-js-v3","AWS SDK for JavaScript Sso Oidc Client for Node.js, Browser and React Native","Apache-2.0"
"@aws-sdk/client-sso@3.598.0","@aws-sdk/client-sso","3.598.0","https://github.com/aws/aws-sdk-js-v3","AWS SDK for JavaScript Sso Client for Node.js, Browser and React Native","Apache-2.0"
"@aws-sdk/client-sts@3.600.0","@aws-sdk/client-sts","3.600.0","https://github.com/aws/aws-sdk-js-v3","AWS SDK for JavaScript Sts Client for Node.js, Browser and React Native","Apache-2.0"
"@aws-sdk/core@3.598.0","@aws-sdk/core","3.598.0","https://github.com/aws/aws-sdk-js-v3","Core functions & classes shared by multiple AWS SDK clients","Apache-2.0"
"@aws-sdk/credential-provider-env@3.598.0","@aws-sdk/credential-provider-env","3.598.0","https://github.com/aws/aws-sdk-js-v3","AWS credential provider that sources credentials from known environment variables","Apache-2.0"
"@aws-sdk/credential-provider-http@3.598.0","@aws-sdk/credential-provider-http","3.598.0","https://github.com/aws/aws-sdk-js-v3","AWS credential provider for containers and HTTP sources","Apache-2.0"
"@aws-sdk/credential-provider-ini@3.598.0","@aws-sdk/credential-provider-ini","3.598.0","https://github.com/aws/aws-sdk-js-v3","AWS credential provider that sources credentials from ~/.aws/credentials and ~/.aws/config","Apache-2.0"
"@aws-sdk/credential-provider-node@3.600.0","@aws-sdk/credential-provider-node","3.600.0","https://github.com/aws/aws-sdk-js-v3","AWS credential provider that sources credentials from a Node.JS environment. ","Apache-2.0"
"@aws-sdk/credential-provider-process@3.598.0","@aws-sdk/credential-provider-process","3.598.0","https://github.com/aws/aws-sdk-js-v3","AWS credential provider that sources credential_process from ~/.aws/credentials and ~/.aws/config","Apache-2.0"
"@aws-sdk/credential-provider-sso@3.598.0","@aws-sdk/credential-provider-sso","3.598.0","https://github.com/aws/aws-sdk-js-v3","AWS credential provider that exchanges a resolved SSO login token file for temporary AWS credentials","Apache-2.0"
"@aws-sdk/credential-provider-web-identity@3.598.0","@aws-sdk/credential-provider-web-identity","3.598.0","https://github.com/aws/aws-sdk-js-v3","AWS credential provider that calls STS assumeRole for temporary AWS credentials","Apache-2.0"
"@aws-sdk/middleware-bucket-endpoint@3.598.0","@aws-sdk/middleware-bucket-endpoint","3.598.0","https://github.com/aws/aws-sdk-js-v3","[![NPM version](https://img.shields.io/npm/v/@aws-sdk/middleware-bucket-endpoint/latest.svg)](https://www.npmjs.com/package/@aws-sdk/middleware-bucket-endpoint) [![NPM downloads](https://img.shields.io/npm/dm/@aws-sdk/middleware-bucket-endpoint.svg)](https://www.npmjs.com/package/@aws-sdk/middleware-bucket-endpoint)","Apache-2.0"
"@aws-sdk/middleware-expect-continue@3.598.0","@aws-sdk/middleware-expect-continue","3.598.0","https://github.com/aws/aws-sdk-js-v3","[![NPM version](https://img.shields.io/npm/v/@aws-sdk/middleware-expect-continue/latest.svg)](https://www.npmjs.com/package/@aws-sdk/middleware-expect-continue) [![NPM downloads](https://img.shields.io/npm/dm/@aws-sdk/middleware-expect-continue.svg)](https://www.npmjs.com/package/@aws-sdk/middleware-expect-continue)","Apache-2.0"
"@aws-sdk/middleware-flexible-checksums@3.598.0","@aws-sdk/middleware-flexible-checksums","3.598.0","https://github.com/aws/aws-sdk-js-v3","[![NPM version](https://img.shields.io/npm/v/@aws-sdk/middleware-flexible-checksums/latest.svg)](https://www.npmjs.com/package/@aws-sdk/middleware-flexible-checksums) [![NPM downloads](https://img.shields.io/npm/dm/@aws-sdk/middleware-flexible-checksums.svg)](https://www.npmjs.com/package/@aws-sdk/middleware-flexible-checksums)","Apache-2.0"
"@aws-sdk/middleware-host-header@3.598.0","@aws-sdk/middleware-host-header","3.598.0","https://github.com/aws/aws-sdk-js-v3","[![NPM version](https://img.shields.io/npm/v/@aws-sdk/middleware-host-header/latest.svg)](https://www.npmjs.com/package/@aws-sdk/middleware-host-header) [![NPM downloads](https://img.shields.io/npm/dm/@aws-sdk/middleware-host-header.svg)](https://www.npmjs.com/package/@aws-sdk/middleware-host-header)","Apache-2.0"
"@aws-sdk/middleware-location-constraint@3.598.0","@aws-sdk/middleware-location-constraint","3.598.0","https://github.com/aws/aws-sdk-js-v3","[![NPM version](https://img.shields.io/npm/v/@aws-sdk/middleware-location-constraint/latest.svg)](https://www.npmjs.com/package/@aws-sdk/middleware-location-constraint) [![NPM downloads](https://img.shields.io/npm/dm/@aws-sdk/middleware-location-constraint.svg)](https://www.npmjs.com/package/@aws-sdk/middleware-location-constraint)","Apache-2.0"
